duid,count,station,fuel_type,perc
LKBONNY2,16650,Lake Bonney Stage 2,Wind,0.158390410958904
LKBONNY3,16457,Lake Bonney Stage 3,Wind,0.156554414003044
SNOWNTH1,14496,Snowtown North Wind Farm,Wind,0.137899543378995
SNOWSTH1,14496,Snowtown South Wind Farm,Wind,0.137899543378995
HDWF1,13861,Hornsdale Wind Farm,Wind,0.131858828006088
HDWF2,13860,Hornsdale Wind Farm,Wind,0.131849315068493
HDWF3,13857,Hornsdale Wind Farm,Wind,0.131820776255708
HALLWF2,13758,Hallett Wind Farm,Wind,0.13087899543379
NBHWF1,13657,North Brown Hill Wind Farm,Wind,0.129918188736682
BLUFF1,13615,The Bluff Wind Farm,Wind,0.129518645357686
