duid,n,perc
MURRAY,23644,0.224923896499239
BROKENH1,19170,0.18236301369863
HUMEV,18819,0.17902397260274
LKBONNY3,18297,0.174058219178082
LKBONNY2,18289,0.173982115677321
STWF1,15863,0.150903729071537
UPPTUMUT,15776,0.150076103500761
DARTM1,15627,0.148658675799087
MCKAY1,15627,0.148658675799087
WKIEWA1,15627,0.148658675799087
WKIEWA2,15627,0.148658675799087
TUMUT3,15469,0.147155631659056
URANQ11,15069,0.143350456621005
URANQ12,15069,0.143350456621005
URANQ13,15069,0.143350456621005
URANQ14,15069,0.143350456621005
SNOWNTH1,14549,0.138403729071537
SNOWSTH1,14549,0.138403729071537
HDWF1,13964,0.132838660578387
HDWF2,13964,0.132838660578387
HDWF3,13964,0.132838660578387
HALLWF2,13895,0.132182267884323
SNOWTWN1,13867,0.131915905631659
BLUFF1,13800,0.131278538812785
NBHWF1,13800,0.131278538812785
HALLWF1,13697,0.130298706240487
CLEMGPWF,13450,0.12794901065449
WATERLWF,12089,0.115001902587519
BNGSF1,9789,0.0931221461187215
KIATAWF1,9192,0.0874429223744292
OAKLAND1,8754,0.0832762557077626
ARWF1,8526,0.0811073059360731
GUTHEGA,8466,0.0805365296803653
MERCER01,8242,0.0784056316590563
BALDHWF1,8179,0.0778063165905632
MACARTH1,8127,0.0773116438356164
YWPS2,8091,0.0769691780821918
YWPS3,8091,0.0769691780821918
YWPS4,8091,0.0769691780821918
LNGS1,8040,0.0764840182648402
LNGS2,8040,0.0764840182648402
AGLSOM,8034,0.0764269406392694
NPS,8027,0.0763603500761035
SNUG1,6787,0.0645643074581431
SALTCRK1,6123,0.0582477168949772
MTGELWF1,6087,0.0579052511415525
GANNSF1,5653,0.0537766362252664
BNGSF2,5176,0.0492389649923897
LADBROK1,5097,0.0484874429223744
LADBROK2,4858,0.0462138508371385
SAPHWF1,4736,0.0450532724505327
WGWF1,4437,0.042208904109589
MEADOWBK,4333,0.0412195585996956
TARRALEA,4332,0.0412100456621005
TUNGATIN,4332,0.0412100456621005
LK_ECHO,4320,0.0410958904109589
MUSSELR1,4297,0.0408770928462709
GORDON,4182,0.0397831050228311
LI_WY_CA,4135,0.03933599695586
YWPS1,3807,0.0362157534246575
BANN1,3736,0.0355403348554033
POAT110,3687,0.035074200913242
EILDON2,3677,0.0349790715372907
EILDON1,3674,0.0349505327245053
MORTLK11,3418,0.0325152207001522
MORTLK12,3418,0.0325152207001522
BDL01,3369,0.0320490867579909
BDL02,3369,0.0320490867579909
JLA01,3369,0.0320490867579909
JLA02,3369,0.0320490867579909
JLA03,3369,0.0320490867579909
JLA04,3369,0.0320490867579909
JLB01,3369,0.0320490867579909
JLB02,3369,0.0320490867579909
JLB03,3369,0.0320490867579909
LOYYB1,3364,0.0320015220700152
LOYYB2,3364,0.0320015220700152
LYA1,3364,0.0320015220700152
LYA2,3364,0.0320015220700152
LYA3,3364,0.0320015220700152
LYA4,3364,0.0320015220700152
VPGS1,3364,0.0320015220700152
VPGS2,3364,0.0320015220700152
VPGS3,3364,0.0320015220700152
VPGS4,3364,0.0320015220700152
VPGS5,3364,0.0320015220700152
VPGS6,3364,0.0320015220700152
POAT220,3279,0.0311929223744292
TREVALLN,3125,0.0297279299847793
REECE1,2756,0.0262176560121766
MACKNTSH,2665,0.0253519786910198
JBUTTERS,2633,0.0250475646879757
REECE2,2629,0.0250095129375951
CETHANA,2598,0.0247146118721461
DEVILS_G,2598,0.0247146118721461
FISHER,2598,0.0247146118721461
LEM_WIL,2598,0.0247146118721461
BASTYAN,2483,0.0236206240487062
TRIBUTE,2438,0.0231925418569254
HUMENSW,2224,0.0211567732115677
HPRG1,2072,0.0197108066971081
KPP_1,2030,0.0193112633181126
GSTONE3,1827,0.0173801369863014
GSTONE4,1827,0.0173801369863014
BBTHREE1,1746,0.0166095890410959
BBTHREE2,1746,0.0166095890410959
BBTHREE3,1746,0.0166095890410959
TVPP104,1746,0.0166095890410959
AGLHAL,1490,0.0141742770167428
POR01,1472,0.0140030441400304
POR03,1472,0.0140030441400304
TVCC201,1440,0.0136986301369863
GSTONE1,1397,0.0132895738203957
GSTONE2,1397,0.0132895738203957
GSTONE5,1397,0.0132895738203957
GSTONE6,1397,0.0132895738203957
MINTARO,1369,0.0130232115677321
