fuel_type,c_on,quantity,dif_ave,dif_ave_0,dif_total,dif_total_0
Battery,FALSE,12773.9461,-497.617625439599,-386.076655596302,-6356540.72577543,-4931722.38905543
Battery,TRUE,312,18.00691,23.0078715384616,5618.15592000001,7178.45592000001
Black Coal,FALSE,4428541.33778,-24.2245635342647,-17.7815318789568,-107279481.001169,-78746248.9750133
Black Coal,TRUE,213657.57373,15.557864774589,15.557864774589,3324055.64015812,3324055.64015812
Brown Coal,FALSE,13690586.41275,-15.9037940500354,-12.7736064707094,-217732266.732589,-174878163.18971
Brown Coal,TRUE,4918652.8733,2.9660893850674,4.32748309898824,14589164.0763264,21285387.1789957
Gas,FALSE,751538.73327,-119.25979302763,-66.5825706146673,-89628353.7820276,-50039380.7776074
Gas,TRUE,115431.44304,60.2516025066841,60.2516025066841,6954929.42281902,6954929.42281902
Hydro,FALSE,9065611.06041,-133.014962071261,-123.175436999194,-1205861911.35324,-1116660604.03072
Hydro,TRUE,3364047.569,60.2328020335723,60.2598909180684,202626011.255097,202717139.551133
Liquid Fuel,FALSE,13916.06973,-1465.30285102424,-1013.19844172011,-20391256.6504211,-14099740.1653043
Liquid Fuel,TRUE,1216.0857,9798.12902740066,9798.12902740066,11915364.5969769,11915364.5969769
Solar,FALSE,389467.5421,-337.5530141848,-33.939248614051,-131465942.763,-13218235.7384353
Solar,TRUE,297729.67407,249.382746128591,249.541603378243,74248643.723547,74295940.2407095
Wind,FALSE,18248806.10286,-793.195823099895,-48.8029635949366,-14474876777.3484,-890595819.888934
Wind,TRUE,3025564.879,91.1003274543301,92.7349278500725,275629951.211221,280575540.759778
