"","DUID","SETTLEMENTDATE","OFFERDATE","VERSIONNO","PRICEBAND1","PRICEBAND2","PRICEBAND3","PRICEBAND4","PRICEBAND5","PRICEBAND6","PRICEBAND7","PRICEBAND8","PRICEBAND9","PRICEBAND10","LASTCHANGED"
"1","BRAEMAR6","2017/01/03 00:00:00","2016/12/06 07:55:45",1,-954.9,0,13.17,34.37,47.25,67.58,100.9,381.86,2053.23,13036.29,"2016/12/06 07:55:45"
"2","BRAEMAR7","2017/01/03 00:00:00","2016/12/06 07:55:45",1,-954.9,0,13.17,34.37,47.25,67.58,100.9,381.87,2053.32,13037.25,"2016/12/06 07:55:45"
"3","BRAEMAR6","2017/01/04 00:00:00","2016/12/06 07:55:48",1,-954.9,0,13.17,34.37,47.25,67.58,100.9,381.86,2053.23,13036.29,"2016/12/06 07:55:48"
"4","BRAEMAR7","2017/01/04 00:00:00","2016/12/06 07:55:48",1,-954.9,0,13.17,34.37,47.25,67.58,100.9,381.87,2053.32,13037.25,"2016/12/06 07:55:48"
"5","BRAEMAR6","2017/01/05 00:00:00","2016/12/06 07:55:52",1,-954.9,0,13.17,34.37,47.25,67.58,100.9,381.86,2053.23,13036.29,"2016/12/06 07:55:52"
"6","BRAEMAR7","2017/01/05 00:00:00","2016/12/06 07:55:52",1,-954.9,0,13.17,34.37,47.25,67.58,100.9,381.87,2053.32,13037.25,"2016/12/06 07:55:52"
"7","BRAEMAR6","2017/01/06 00:00:00","2016/12/06 07:55:55",1,-954.9,0,13.17,34.37,47.25,67.58,100.9,381.86,2053.23,13036.29,"2016/12/06 07:55:55"
"8","BRAEMAR6","2017/01/07 00:00:00","2016/12/06 07:55:58",1,-954.9,0,13.17,34.37,47.25,67.58,100.9,381.86,2053.23,13036.29,"2016/12/06 07:55:58"
"9","BRAEMAR7","2017/01/07 00:00:00","2016/12/06 07:55:58",1,-954.9,0,13.17,34.37,47.25,67.58,100.9,381.87,2053.32,13037.25,"2016/12/06 07:55:58"
"10","PUMP1","2017/01/03 00:00:00","2016/12/10 11:26:24",1,-994,0,27.83,45.03,55.04,65.05,150.38,285.2,5003.53,13021.4,"2016/12/10 11:26:24"
"11","BRAEMAR6","2017/01/08 00:00:00","2016/12/19 10:44:56",1,-954.9,0,13.17,34.37,47.25,67.58,100.9,381.86,2053.23,13036.29,"2016/12/19 10:44:56"
"12","BRAEMAR7","2017/01/08 00:00:00","2016/12/19 10:44:56",1,-954.9,0,13.17,34.37,47.25,67.58,100.9,381.87,2053.32,13037.25,"2016/12/19 10:44:56"
"13","PPCCGT","2017/01/02 00:00:00","2016/12/19 14:59:33",3,-1000.9,59.74,79.76,123.8,299.96,300.27,485.13,4604.14,10559.18,14012.6,"2016/12/19 14:59:33"
"14","PPCCGT","2017/01/03 00:00:00","2016/12/19 14:59:34",3,-1000.9,59.74,79.76,123.8,299.96,300.27,485.13,4604.14,10559.18,14012.6,"2016/12/19 14:59:34"
"15","AGLHAL","2017/01/01 00:00:00","2016/12/20 08:47:50",1,-990,0,276.02,365.12,414.62,493.82,573.02,1351.9,10473.08,13859,"2016/12/20 08:47:50"
"16","AGLHAL","2017/01/02 00:00:00","2016/12/20 08:47:58",1,-990,0,276.02,365.12,414.62,493.82,573.02,1351.9,10473.08,13859,"2016/12/20 08:47:58"
"17","AGLHAL","2017/01/28 00:00:00","2016/12/20 08:48:15",1,-990,0,276.02,365.12,414.62,493.82,573.02,1351.9,10473.08,13859,"2016/12/20 08:48:15"
