"","I","DISPATCH","UNIT_SCADA","X1","SETTLEMENTDATE","DUID","SCADAVALUE"
"1","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 00:00:00","LK_ECHO",0
"2","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 00:05:00","LK_ECHO",0
"3","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 00:10:00","LK_ECHO",0
"4","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 00:15:00","LK_ECHO",0
"5","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 00:20:00","LK_ECHO",0
"6","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 00:25:00","LK_ECHO",0
"7","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 00:30:00","LK_ECHO",0
"8","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 00:35:00","LK_ECHO",0
"9","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 00:40:00","LK_ECHO",0
"10","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 00:45:00","LK_ECHO",0
"11","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 00:50:00","LK_ECHO",0
"12","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 00:55:00","LK_ECHO",0
"13","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 01:00:00","LK_ECHO",0
"14","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 01:05:00","LK_ECHO",0
"15","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 01:10:00","LK_ECHO",0
"16","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 01:15:00","LK_ECHO",0
"17","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 01:20:00","LK_ECHO",0
"18","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 01:25:00","LK_ECHO",0
"19","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 01:30:00","LK_ECHO",0
"20","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 01:35:00","LK_ECHO",0
"21","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 01:40:00","LK_ECHO",0
"22","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 01:45:00","LK_ECHO",0
"23","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 01:50:00","LK_ECHO",0
"24","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 01:55:00","LK_ECHO",0
"25","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 02:00:00","LK_ECHO",0
"26","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 02:05:00","LK_ECHO",0
"27","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 02:10:00","LK_ECHO",0
"28","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 02:15:00","LK_ECHO",0
"29","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 02:20:00","LK_ECHO",0
"30","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 02:25:00","LK_ECHO",0
"31","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 02:30:00","LK_ECHO",0
"32","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 02:35:00","LK_ECHO",0
"33","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 02:40:00","LK_ECHO",0
"34","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 02:45:00","LK_ECHO",0
"35","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 02:50:00","LK_ECHO",0
"36","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 02:55:00","LK_ECHO",0
"37","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 03:00:00","LK_ECHO",0
"38","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 03:05:00","LK_ECHO",0
"39","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 03:10:00","LK_ECHO",0
"40","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 03:15:00","LK_ECHO",0
"41","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 03:20:00","LK_ECHO",0
"42","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 03:25:00","LK_ECHO",0
"43","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 03:30:00","LK_ECHO",0
"44","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 03:35:00","LK_ECHO",0
"45","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 03:40:00","LK_ECHO",0
"46","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 03:45:00","LK_ECHO",0
"47","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 03:50:00","LK_ECHO",0
"48","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 03:55:00","LK_ECHO",0
"49","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 04:00:00","LK_ECHO",0
