"","I","DISPATCH","CONSTRAINT","X3","SETTLEMENTDATE","RUNNO","CONSTRAINTID","DISPATCHINTERVAL","INTERVENTION","RHS","MARGINALVALUE","VIOLATIONDEGREE","LASTCHANGED","CONFIDENTIAL_TO","GENCONID_EFFECTIVEDATE","GENCONID_VERSIONNO","LHS"
"1","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:05:00",1,"SVML_ROC_80",20161231241,0,142.6979,-125.00615,0,"2017/01/01 00:00:05","","2016/08/23 00:00:00",1,142.6979
"2","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:05:00",1,"V::N_NIL_S2",20161231241,0,761.43,-81.21042,0,"2017/01/01 00:00:05","","2016/11/24 00:00:00",1,761.43
"3","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:05:00",1,"V::N_NIL_V2",20161231241,0,698.72482,-172.24171,0,"2017/01/01 00:00:05","","2016/11/24 00:00:00",1,698.72482
"4","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:10:00",1,"S>V_NIL_NIL_RBNW",20161231242,0,141.42661,-82.99759,0,"2017/01/01 00:05:04","","2016/09/13 00:00:00",1,141.42661
"5","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:10:00",1,"V::N_NIL_V2",20161231242,0,687.86091,-217.41405,0,"2017/01/01 00:05:04","","2016/11/24 00:00:00",1,687.86091
"6","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:10:00",1,"V:S_600_HY_TEST",20161231242,0,600,-32.61674,0,"2017/01/01 00:05:04","","2016/07/28 00:00:00",1,600
"7","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:15:00",1,"V::N_NIL_V2",20161231243,0,626.96187,-258.43703,0,"2017/01/01 00:10:05","","2016/11/24 00:00:00",1,626.96187
"8","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:15:00",1,"V:S_600_HY_TEST_DYN",20161231243,0,564.71704,-150.43972,0,"2017/01/01 00:10:05","","2016/11/21 00:00:00",1,564.71704
"9","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:20:00",1,"V::N_NIL_V2",20161231244,0,677.64816,-65.97856,0,"2017/01/01 00:15:04","","2016/11/24 00:00:00",1,677.64815
"10","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:20:00",1,"V:S_600_HY_TEST",20161231244,0,600,-29.11643,0,"2017/01/01 00:15:04","","2016/07/28 00:00:00",1,600
"11","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:25:00",1,"V::N_NIL_V2",20161231245,0,688.0598,-60.27335,0,"2017/01/01 00:20:04","","2016/11/24 00:00:00",1,688.0598
"12","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:25:00",1,"V:S_600_HY_TEST",20161231245,0,600,-28.37111,0,"2017/01/01 00:20:04","","2016/07/28 00:00:00",1,600
"13","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:30:00",1,"V::N_NIL_V2",20161231246,0,673.59547,-67.26114,0,"2017/01/01 00:25:05","","2016/11/24 00:00:00",1,673.59547
"14","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:30:00",1,"V:S_600_HY_TEST",20161231246,0,600,-37.01437,0,"2017/01/01 00:25:05","","2016/07/28 00:00:00",1,600
"15","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:35:00",1,"V::N_NIL_V2",20161231247,0,651.79237,-61.27119,0,"2017/01/01 00:30:05","","2016/11/24 00:00:00",1,651.79237
"16","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:35:00",1,"V:S_600_HY_TEST_DYN",20161231247,0,600,-28.04859,0,"2017/01/01 00:30:05","","2016/11/21 00:00:00",1,600
"17","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:40:00",1,"V::N_NIL_V2",20161231248,0,595.65264,-94.10193,0,"2017/01/01 00:35:04","","2016/11/24 00:00:00",1,595.65264
"18","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:40:00",1,"V:S_600_HY_TEST_DYN",20161231248,0,537.08997,-56.80519,0,"2017/01/01 00:35:04","","2016/11/21 00:00:00",1,537.08997
"19","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:45:00",1,"V::N_NIL_V2",20161231249,0,685.16154,-52.95861,0,"2017/01/01 00:40:04","","2016/11/24 00:00:00",1,685.16154
"20","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:45:00",1,"V:S_600_HY_TEST_DYN",20161231249,0,600,-29.20019,0,"2017/01/01 00:40:04","","2016/11/21 00:00:00",1,600
"21","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:50:00",1,"V::N_NIL_V2",20161231250,0,673.67402,-53.483,0,"2017/01/01 00:45:04","","2016/11/24 00:00:00",1,673.67401
"22","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:50:00",1,"V:S_600_HY_TEST_DYN",20161231250,0,600,-30.21988,0,"2017/01/01 00:45:04","","2016/11/21 00:00:00",1,600
"23","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:55:00",1,"V::N_NIL_V2",20161231251,0,667.35594,-51.29759,0,"2017/01/01 00:50:04","","2016/11/24 00:00:00",1,667.35594
"24","D","DISPATCH","CONSTRAINT",3,"2017/01/01 00:55:00",1,"V:S_600_HY_TEST_DYN",20161231251,0,600,-31.74851,0,"2017/01/01 00:50:04","","2016/11/21 00:00:00",1,600
"25","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:00:00",1,"V::N_NIL_V2",20161231252,0,658.97412,-31.26809,0,"2017/01/01 00:55:04","","2016/11/24 00:00:00",1,658.97412
"26","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:00:00",1,"V:S_600_HY_TEST_DYN",20161231252,0,573.36792,-42.91432,0,"2017/01/01 00:55:04","","2016/11/21 00:00:00",1,573.36792
"27","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:00:00",1,"VSML_ROC_80",20161231252,0,139.37893,-16.3082,0,"2017/01/01 00:55:04","","2016/08/23 00:00:00",1,139.37893
"28","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:05:00",1,"V::N_NIL_V2",20161231253,0,710.17584,-22.75503,0,"2017/01/01 01:00:04","","2016/11/24 00:00:00",1,710.17584
"29","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:05:00",1,"V:S_600_HY_TEST_DYN",20161231253,0,600,-20.10062,0,"2017/01/01 01:00:04","","2016/11/21 00:00:00",1,600
"30","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:10:00",1,"V::N_NIL_V2",20161231254,0,692.14916,-63.68939,0,"2017/01/01 01:05:05","","2016/11/24 00:00:00",1,692.14915
"31","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:10:00",1,"V:S_600_HY_TEST_DYN",20161231254,0,588.99536,-40.78287,0,"2017/01/01 01:05:05","","2016/11/21 00:00:00",1,588.99536
"32","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:15:00",1,"V::N_NIL_V2",20161231255,0,669.06948,-65.30717,0,"2017/01/01 01:10:05","","2016/11/24 00:00:00",1,669.06948
"33","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:15:00",1,"V:S_600_HY_TEST_DYN",20161231255,0,552.71741,-44.67874,0,"2017/01/01 01:10:05","","2016/11/21 00:00:00",1,552.71741
"34","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:20:00",1,"V::N_NIL_V2",20161231256,0,739.89343,-24.62665,0,"2017/01/01 01:15:04","","2016/11/24 00:00:00",1,739.89343
"35","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:20:00",1,"V:S_600_HY_TEST",20161231256,0,600,-23.10017,0,"2017/01/01 01:15:04","","2016/07/28 00:00:00",1,600
"36","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:25:00",1,"V::N_NIL_V2",20161231257,0,762.48097,-24.23466,0,"2017/01/01 01:20:04","","2016/11/24 00:00:00",1,762.48096
"37","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:25:00",1,"V:S_600_HY_TEST_DYN",20161231257,0,600,-22.80987,0,"2017/01/01 01:20:04","","2016/11/21 00:00:00",1,600
"38","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:30:00",1,"V::N_NIL_V2",20161231258,0,740.33041,-24.71611,0,"2017/01/01 01:25:04","","2016/11/24 00:00:00",1,740.33041
"39","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:30:00",1,"V:S_600_HY_TEST_DYN",20161231258,0,600,-21.24433,0,"2017/01/01 01:25:04","","2016/11/21 00:00:00",1,600
"40","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:35:00",1,"V::N_NIL_V2",20161231259,0,791.16556,-23.47197,0,"2017/01/01 01:30:04","","2016/11/24 00:00:00",1,791.16556
"41","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:35:00",1,"V:S_600_HY_TEST_DYN",20161231259,0,600,-26.73499,0,"2017/01/01 01:30:04","","2016/11/21 00:00:00",1,600
"42","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:40:00",1,"V::N_NIL_V2",20161231260,0,815.4825,-21.763,0,"2017/01/01 01:35:04","","2016/11/24 00:00:00",1,815.4825
"43","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:40:00",1,"V:S_600_HY_TEST",20161231260,0,600,-23.71635,0,"2017/01/01 01:35:04","","2016/07/28 00:00:00",1,600
"44","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:45:00",1,"V::N_NIL_V2",20161231261,0,789.64624,-26.86299,0,"2017/01/01 01:40:04","","2016/11/24 00:00:00",1,789.64623
"45","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:45:00",1,"V:S_600_HY_TEST_DYN",20161231261,0,579.78638,-28.4322,0,"2017/01/01 01:40:04","","2016/11/21 00:00:00",1,579.78638
"46","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:50:00",1,"V::N_NIL_V2",20161231262,0,804.85092,-26.81519,0,"2017/01/01 01:45:04","","2016/11/24 00:00:00",1,804.85093
"47","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:50:00",1,"V:S_600_HY_TEST_DYN",20161231262,0,582.57703,-29.22049,0,"2017/01/01 01:45:04","","2016/11/21 00:00:00",1,582.57703
"48","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:55:00",1,"V::N_NIL_V2",20161231263,0,819.46591,-31.38024,0,"2017/01/01 01:50:04","","2016/11/24 00:00:00",1,819.46591
"49","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:55:00",1,"V:S_600_HY_TEST_DYN",20161231263,0,580.34448,-47.10055,0,"2017/01/01 01:50:04","","2016/11/21 00:00:00",1,580.34448
"50","D","DISPATCH","CONSTRAINT",3,"2017/01/01 01:55:00",1,"VSML_220",20161231263,0,220,-14.61378,0,"2017/01/01 01:50:04","","2012/07/04 00:00:00",1,220
"51","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:00:00",1,"V::N_NIL_V2",20161231264,0,864.01369,-16.64645,0,"2017/01/01 01:55:04","","2016/11/24 00:00:00",1,864.01369
"52","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:00:00",1,"V:S_600_HY_TEST_DYN",20161231264,0,600,-23.61988,0,"2017/01/01 01:55:04","","2016/11/21 00:00:00",1,600
"53","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:05:00",1,"V::N_NIL_V2",20161231265,0,868.60612,-22.56458,0,"2017/01/01 02:00:05","","2016/11/24 00:00:00",1,868.60612
"54","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:05:00",1,"V:S_600_HY_TEST_DYN",20161231265,0,600,-23.33253,0,"2017/01/01 02:00:05","","2016/11/21 00:00:00",1,600
"55","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:10:00",1,"V::N_NIL_V2",20161231266,0,828.24601,-35.51796,0,"2017/01/01 02:05:04","","2016/11/24 00:00:00",1,828.24601
"56","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:10:00",1,"V:S_600_HY_TEST_DYN",20161231266,0,561.6474,-35.08738,0,"2017/01/01 02:05:04","","2016/11/21 00:00:00",1,561.6474
"57","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:15:00",1,"V::N_NIL_V2",20161231267,0,894.14638,-41.31553,0,"2017/01/01 02:10:04","","2016/11/24 00:00:00",1,894.14637
"58","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:15:00",1,"V:S_600_HY_TEST",20161231267,0,600,-33.47703,0,"2017/01/01 02:10:04","","2016/07/28 00:00:00",1,600
"59","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:20:00",1,"V::N_NIL_V2",20161231268,0,862.5236,-31.27034,0,"2017/01/01 02:15:04","","2016/11/24 00:00:00",1,862.52359
"60","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:20:00",1,"V:S_600_HY_TEST_DYN",20161231268,0,600,-28.46081,0,"2017/01/01 02:15:04","","2016/11/21 00:00:00",1,600
"61","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:25:00",1,"V::N_NIL_V2",20161231269,0,848.2917,-31.69191,0,"2017/01/01 02:20:04","","2016/11/24 00:00:00",1,848.2917
"62","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:25:00",1,"V:S_600_HY_TEST_DYN",20161231269,0,573.64697,-33.02042,0,"2017/01/01 02:20:04","","2016/11/21 00:00:00",1,573.64697
"63","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:30:00",1,"V::N_NIL_V2",20161231270,0,872.53317,-31.62975,0,"2017/01/01 02:25:04","","2016/11/24 00:00:00",1,872.53317
"64","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:30:00",1,"V:S_600_HY_TEST",20161231270,0,600,-31.54553,0,"2017/01/01 02:25:04","","2016/07/28 00:00:00",1,600
"65","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:35:00",1,"V::N_NIL_V2",20161231271,0,863.41621,-32.04836,0,"2017/01/01 02:30:05","","2016/11/24 00:00:00",1,863.41621
"66","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:35:00",1,"V:S_600_HY_TEST_DYN",20161231271,0,579.22827,-36.33166,0,"2017/01/01 02:30:05","","2016/11/21 00:00:00",1,579.22827
"67","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:35:00",1,"VSML_220",20161231271,0,220,-0.26774,0,"2017/01/01 02:30:05","","2012/07/04 00:00:00",1,220
"68","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:40:00",1,"V::N_NIL_V2",20161231272,0,893.96415,-27.04177,0,"2017/01/01 02:35:04","","2016/11/24 00:00:00",1,893.96416
"69","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:40:00",1,"V:S_600_HY_TEST_DYN",20161231272,0,600,-31.15668,0,"2017/01/01 02:35:04","","2016/11/21 00:00:00",1,600
"70","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:45:00",1,"V::N_NIL_V2",20161231273,0,883.188,-27.03038,0,"2017/01/01 02:40:05","","2016/11/24 00:00:00",1,883.18799
"71","D","DISPATCH","CONSTRAINT",3,"2017/01/01 02:45:00",1,"V:S_600_HY_TEST_DYN",20161231273,0,600,-30.17439,0,"2017/01/01 02:40:05","","2016/11/21 00:00:00",1,600
