"","I","DISPATCH","CONSTRAINT","X3","SETTLEMENTDATE","RUNNO","CONSTRAINTID","DISPATCHINTERVAL","INTERVENTION","RHS","MARGINALVALUE","VIOLATIONDEGREE","LASTCHANGED","CONFIDENTIAL_TO","GENCONID_EFFECTIVEDATE","GENCONID_VERSIONNO","LHS"
"1","D","DISPATCH","CONSTRAINT",3,"2019/05/01 00:05:00",1,"N^^V_NIL_1",20190430241,0,156.80023,-54.32188,0,"2019/05/01 00:00:05","","2018/12/19 00:00:00",1,156.80023
"2","D","DISPATCH","CONSTRAINT",3,"2019/05/01 00:05:00",1,"S>V_NIL_SETX_SETX1",20190430241,0,100.75896,-1108.65312,0,"2019/05/01 00:00:05","","2019/03/14 00:00:00",2,100.75896
"3","D","DISPATCH","CONSTRAINT",3,"2019/05/01 00:05:00",1,"N^^V_NIL_1",20190430241,1,156.80023,-40.46529,0,"2019/05/01 00:00:05","","2018/12/19 00:00:00",1,156.80023
"4","D","DISPATCH","CONSTRAINT",3,"2019/05/01 00:05:00",1,"S>V_NIL_SETX_SETX1",20190430241,1,100.75896,-1095.33898,0,"2019/05/01 00:00:05","","2019/03/14 00:00:00",2,100.75896
"5","D","DISPATCH","CONSTRAINT",3,"2019/05/01 00:10:00",1,"N^^V_NIL_1",20190430242,0,146.04272,-55.2091,0,"2019/05/01 00:05:05","","2018/12/19 00:00:00",1,146.04272
"6","D","DISPATCH","CONSTRAINT",3,"2019/05/01 00:10:00",1,"S>V_NIL_SETX_SETX1",20190430242,0,97.69597,-1109.29931,0,"2019/05/01 00:05:05","","2019/03/14 00:00:00",2,97.69596
"7","D","DISPATCH","CONSTRAINT",3,"2019/05/01 00:10:00",1,"N^^V_NIL_1",20190430242,1,146.04272,-40.32241,0,"2019/05/01 00:05:05","","2018/12/19 00:00:00",1,146.04271
"8","D","DISPATCH","CONSTRAINT",3,"2019/05/01 00:10:00",1,"S>V_NIL_SETX_SETX1",20190430242,1,97.69597,-1094.57272,0,"2019/05/01 00:05:05","","2019/03/14 00:00:00",2,97.69596
"9","D","DISPATCH","CONSTRAINT",3,"2019/05/01 00:15:00",1,"N^^V_NIL_1",20190430243,0,122.36613,-20.80039,0,"2019/05/01 00:10:04","","2018/12/19 00:00:00",1,122.36613
"10","D","DISPATCH","CONSTRAINT",3,"2019/05/01 00:15:00",1,"S>V_NIL_SETX_SETX1",20190430243,0,96.41751,-1077.50073,0,"2019/05/01 00:10:04","","2019/03/14 00:00:00",2,96.4175
